ErrorID,rare,ErrorMessage
1,1,シンボルを見つけられません（変数）
2,1,';'がありません
3,1,class、interface、またenumがありません
4,1,文ではありません
5,1,シンボルを見つけられません（メソッド）
6,1,式の開始が不正です
7,1,型の開始が不正です
8,1,<identifier>がありません
9,1,構文解析中にファイルの終わりに移りました
10,1,')'がありません
11,1,Aは不正な文字です
12,1,メソッドAを引数Bに適用できません
13,1,シンボルを見つけられません（クラス）
14,1,変数またはメソッドAはメソッドまたはクラスまたはパッケージで定義されています
15,1,互換性のない型
16,1,メソッドの宣言が不正です戻り値の型が必要です
17,1,演算子Aは型Bに適用できません
18,2,変数Aは初期化されていない可能性があります
19,2,'else'への'if'がありません
20,2,この文に制御が移ることはありません
21,2,'.class'がありません
22,2,精度が落ちている可能性
23,2,'('がありません
24,2,AはBでprivateアクセスされます
25,2,型Aは間接参照できません
26,2,return文が指定されていません
27,3,staticでないメソッドAをstaticコンテキストから参照することはできません
28,3,予期しない型
29,3,'('または'['がありません
30,3,文字列リテラルが閉じられていません
31,3,パッケージAは存在しません
32,3,クラスAはpublicであり、ファイルBで宣言しなければなりません
33,3,型Aと型Bは比較できません
34,3,浮動小数点リテラルが不正です
35,3,>がありません
36,3,シンボルを見つけられません（コンストラクタ）
37,3,メソッド本体がないか、abstractとして宣言されています
38,4,戻り値の型がvoidのメソッドからは値を返せません
39,4,:がありません
40,4,変換できない型
41,4,']'がありません
42,4,Aにアクセスできません
43,4,文字リテラルが閉じられていません
44,4,ここで'void'型を使用することはできません
45,4,エスケープ文字が不正です
46,4,breakがswitch文またはループの外にあります
47,5,戻り値がありません
48,5,整数が大き過ぎます
